Tahun,Luas Areal,Luas Panen,Produktivitas,Produksi
1995,2024986,1238699,3616,4479670
1996,2249514,1428350,3430,4898658
1997,2922296,1575123,3459,5448508
1998,3560196,1699478,3490,5930415
1999,3901802,2005415,3219,6455590
2000,4158077,2451065,2856,7000508
2001,4713435,2956114,2840,8396472
2002,5067058,3307419,2909,9622345
2003,5283557,3428580,3045,10440834
2004,5284723,3823324,2833,10830389
2005,5453817,4054683,2925,11861615
2006,6594914,4960529,3498,17350848
2007,6766836,4881335,3619,17664725
2008,7363847,5122275,3424,17539788
2009,7873294,5541422,3487,19324293
2010,8385394,6108275,3595,21958120
2011,8992824,6550800,3526,23096541
2012,9572715,6989653,3722,26015518
2013,10465020,7856254,3536,27782004
2014,10754801,8129570,3601,29278189
2015,11260276,8571323,3625,31070015
2016,11201465,8843871,3588,31730961
2017,14048722,10448224,3634,37965224
2018,14327092,11132101,3644,40567230
2019,14677560,11581621,3702,42869429
